foot,Noun:the part of the leg of a human being below the ankle joint,
fork,Noun:cutlery used for serving and eating food,
form,Noun:the phonological or orthographic sound or appearance of a word that can be used to describe or identify something,
four,Noun:the cardinal number that is the sum of three and one,
free,Noun:people who are free,
from,
full,Noun:the time when the Moon is fully illuminated,
game,Noun:a contest with rules to determine a winner,
gate,Noun:a movable barrier in a fence or wall,
gift,Noun:something acquired without compensation,
give,Noun:the elasticity of something that can be stretched and returns to its original length,
glad,Noun:any of numerous plants of the genus Gladiolus native chiefly to tropical and South Africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated,
goat,Noun:any of numerous agile ruminants related to sheep but having a beard and straight horns,
gold,Noun:coins made of gold,
good,Noun:benefit,
grey,Noun:United States writer of western adventure novels (1875-1939,
grow,Verb:pass into a condition gradually, take on a specific property or attribute; become,
hair,Noun:a covering for the body (or parts of it,
half,Noun:one of two equal parts of a divisible whole,
hall,Noun:an interior passage or corridor onto which rooms open,
hand,Noun:the (prehensile,
hard,Adjective:not easy; requiring great physical or mental effort to accomplish or comprehend or endure,
hate,Noun:the emotion of intense dislike; a feeling of dislike so strong that it demands action,
have,Noun:a person who possesses great material wealth,
head,Noun:the upper part of the human body or the front part of the body in animals; contains the face and brains,
hear,Verb:perceive (sound,
help,Noun:the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,
here,Noun:the present location; this place,
hers,
hide,Noun:the dressed skin of an animal (especially a large animal,
high,Noun:a lofty level or position or degree,
hill,Noun:a local and well-defined elevation of the land,
hold,Noun:the act of grasping,
hole,Noun:an opening into or through something,
home,Noun:where you live at a particular time,
hope,Noun:a specific instance of feeling hopeful,
hour,Noun:a period of time equal to 1/24th of a day,
hurt,Noun:any physical damage to the body caused by violence or accident or fracture etc.,
idea,Noun:the content of cognition; the main thing you are thinking about,
into,
iron,Noun:a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood,
join,Noun:the shape or manner in which things come together and a connection is made,
jump,Noun:a sudden and decisive increase,
just,Adjective:used especially of what is legally or ethically right or proper or fitting,
keep,Noun:the financial means whereby one lives,
kill,Noun:the act of terminating a life,
kind,Noun:a category of things distinguished by some common characteristic or quality,
king,Noun:a male sovereign; ruler of a kingdom,
knee,Noun:hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,
know,Noun:the fact of being aware of information that is known to few people,
lady,Noun:a polite name for any woman,
lamp,Noun:an artificial source of visible illumination,
land,Noun:the land on which real estate is located,
last,Noun:the temporal end; the concluding time,
late,Adjective:being or occurring at an advanced period of time or after a usual or expected time,
lazy,Adjective:moving slowly and gently,
lead,Noun:an advantage held by a competitor in a race,
leaf,Noun:the main organ of photosynthesis and transpiration in higher plants,
left,Noun:location near or direction toward the left side; i.e. the side to the north when a person or object faces east,
lend,Verb:bestow a quality on,
less,Adjective:(comparative of `little' usually used with mass nouns,
life,Noun:a characteristic state or mode of living,
like,Noun:a similar kind,
lion,Noun:large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,
list,Noun:a database containing an ordered array of items (names or topics,
live,Adjective:actually being performed at the time of hearing or viewing,
lock,Noun:a fastener fitted to a door or drawer to keep it firmly closed,
long,Adjective:primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,
look,Noun:the feelings expressed on a person's face,
lose,Verb:fail to keep or to maintain; cease to have, either physically or in an abstract sense,
love,Noun:a strong positive emotion of regard and affection,
luck,Noun:your overall circumstances or condition in life (including everything that happens to you,
main,Noun:any very large body of (salt,
make,Noun:a recognizable kind,
male,Noun:an animal that produces gametes (spermatozoa,
many,Adjective:a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,
mark,Noun:a number or letter indicating quality (especially of a student's performance,
meal,Noun:the food served and eaten at one time,
mean,Noun:an average of n numbers computed by adding some function of the numbers and dividing by some function of n,
meat,Noun:the flesh of animals (including fishes and birds and snails,
meet,Noun:a meeting at which a number of athletic contests are held,
milk,Noun:a white nutritious liquid secreted by mammals and used as food by human beings,
mind,Noun:that which is responsible for one's thoughts, feelings, and conscious brain functions; the seat of the faculty of reason,
miss,Noun:a young female,
moon,Noun:the natural satellite of the Earth,
more,Noun:English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state,
most,Adjective:a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,
move,Noun:the act of deciding to do something,
much,Noun:a great amount or extent,
must,Noun:a necessary or essential thing,
name,Noun:a language unit by which a person or thing is known,
near,Adjective:not far distant in time or space or degree or circumstances,
neck,Noun:the part of an organism (human or animal,
need,Noun:a condition requiring relief,
news,Noun:information about recent and important events,
next,Adjective:immediately following in time or order,
nice,Noun:a city in southeastern France on the Mediterranean; the leading resort on the French Riviera,
nine,Noun:the cardinal number that is the sum of eight and one,
none,Noun:a canonical hour that is the ninth hour of the day counting from sunrise,
nose,Noun:the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,
obey,Verb:be obedient to,
only,Adjective:being the only one; single and isolated from others,
open,Noun:a clear or unobstructed space or expanse of land or water,
over,Noun:(cricket,
page,Noun:one side of one leaf (of a book or magazine or newspaper or letter etc.,
pain,Noun:a symptom of some physical hurt or disorder,
pair,Noun:a set of two similar things considered as a unit,
park,Noun:a large area of land preserved in its natural state as public property,
part,Noun:something determined in relation to something that includes it,
pass,Noun:(baseball,
past,Noun:the time that has elapsed,
path,Noun:a course of conduct,
pick,Noun:the person or thing chosen or selected,
pink,Noun:a light shade of red,
play,Noun:a dramatic work intended for performance by actors on a stage,
pool,Noun:an excavation that is (usually,
poor,Noun:people without possessions or wealth (considered as a group,
pour,Verb:cause to run,
pull,Noun:the act of pulling; applying force to move something toward or with you,
push,Noun:the act of applying force in order to move something away,
rain,Noun:water falling in drops from vapor condensed in the atmosphere,
read,Noun:something that is read,
real,Noun:any rational or irrational number,
rent,Noun:a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service,
rest,Noun:something left after other parts have been taken away,
rice,Noun:grains used as food either unpolished or more often polished,
rich,Noun:people who have possessions and wealth (considered as a group,
ride,Noun:a journey in a vehicle (usually an automobile,
ring,Noun:a characteristic sound,
rise,Noun:a growth in strength or number or importance,
road,Noun:an open way (generally public,
rock,Noun:a lump or mass of hard consolidated mineral matter,
room,Noun:an area within a building enclosed by walls and floor and ceiling,
rude,Adjective:socially incorrect in behavior,
rule,Noun:a principle or condition that customarily governs behavior,
rush,Noun:the act of moving hurriedly and in a careless manner,
safe,Noun:strongbox where valuables can be safely kept,
sail,Noun:a large piece of fabric (usually canvas fabric,
salt,Noun:a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal,
same,Noun:a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer,
sand,Noun:a loose material consisting of grains of rock or coral,
save,Noun:(sports,
seat,Noun:a space reserved for sitting (as in a theater or on a train or airplane,
seem,Verb:give a certain impression or have a certain outward aspect,
sell,Noun:the activity of persuading someone to buy,
send,Verb:cause to go somewhere,
ship,Noun:a vessel that carries passengers or freight,
shoe,Noun:footwear shaped to fit the foot (below the ankle,
shop,Noun:a mercantile establishment for the retail sale of goods or services,
show,Noun:the act of publicly exhibiting or entertaining,
sick,Noun:people who are sick,
side,Noun:a place within a region identified relative to a center or reference location,
sing,Verb:deliver by singing,
sink,Noun:plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe,
size,Noun:the physical magnitude of something (how big it is,
skin,Noun:a natural protective body covering and site of the sense of touch,
slip,Noun:a socially awkward or tactless act,
slow,Adjective:not moving quickly; taking a comparatively long time,
snow,Noun:precipitation falling from clouds in the form of ice crystals,
soap,Noun:a cleansing agent made from the salts of vegetable or animal fats,
sock,Noun:hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee,
soft,Adjective:yielding readily to pressure or weight,
some,Adjective:(quantifier,
soon,Adverb:in the near future,
soup,Noun:liquid food especially of meat or fish or vegetable stock often containing pieces of solid food,
star,Noun:(astronomy,
stay,Noun:continuing or remaining in a place or state,
step,Noun:any maneuver made as part of progress toward a goal,
stop,Noun:the event of something ending,
such,Adjective:of so extreme a degree or extent,
sure,Adjective:having or feeling no doubt or uncertainty; confident and assured,
swim,Noun:the act of swimming,
take,Noun:the income or profit arising from such transactions as the sale of land or other property,
talk,Noun:an exchange of ideas via conversation,
tall,Noun:a garment size for a tall person,
taxi,Noun:a car driven by a person whose job is to take passengers where they want to go in exchange for money,
team,Noun:a cooperative unit (especially in sports,
tear,Noun:a drop of the clear salty saline solution secreted by the lacrimal glands,
tell,Noun:a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap,
test,Noun:trying something to find out about it,
than,
that,
then,Noun:that time; that moment,
thin,Adjective:of relatively small extent from one surface to the opposite or in cross section,
this,
tidy,Noun:receptacle that holds odds and ends (as sewing materials,
tool,Noun:an implement used in the practice of a vocation,
town,Noun:an urban area with a fixed boundary that is smaller than a city,
tram,Noun:a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers,
tree,Noun:a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,
true,Noun:proper alignment; the property possessed by something that is in correct or proper alignment,
turn,Noun:a circular segment of a curve,
type,Noun:a subdivision of a particular kind of thing,
unit,Noun:any division of quantity accepted as a standard of measurement or exchange,
very,Adjective:precisely as stated,
wait,Noun:time during which some action is awaited,
wake,Noun:the consequences of an event (especially a catastrophic event,
walk,Noun:the act of traveling by foot,
want,Noun:a state of extreme poverty,
warm,Adjective:having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat,
wash,Noun:a thin coat of water-base paint,
weak,Adjective:wanting in physical strength,
wear,Noun:impairment resulting from long use,
week,Noun:any period of seven consecutive days,
well,Noun:a deep hole or shaft dug or drilled to obtain water or oil or gas or brine,
west,Noun:the countries of (originally,
what,
when,
wide,Adjective:having great (or a certain,
wife,Noun:a married woman; a man's partner in marriage,
wild,Noun:a wild primitive state untouched by civilization,
will,Noun:the capability of conscious choice and decision and intention,
wind,Noun:air moving (sometimes with considerable force,
wine,Noun:fermented juice (of grapes especially,
wire,Noun:ligament made of metal and used to fasten things or make cages or fences etc,
wise,Noun:a way of doing or being,
wish,Noun:a specific feeling of desire,
with,
word,Noun:a unit of language that native speakers can identify,
work,Noun:activity directed toward making or doing something,
year,Noun:a period of time containing 365 (or 366,
your,
zero,Noun:a quantity of no importance,
